# Third-party dependency licenses
#
# Generated for Groma v0.2.0 from the full build dependency closure of
# ./cmd/groma and ./cmd/manager, via:
#   go install github.com/google/go-licenses/v2@latest
#   go-licenses csv ./cmd/groma ./cmd/manager
#
# 8 packages the tool classified as Unknown were checked by hand against
# their upstream LICENSE files and corrected below; see NOTICE for
# reproduced attribution notices where upstream projects ship a NOTICE file.
package,license_url,license
cel.dev/expr,https://github.com/cel-expr/cel-spec/blob/v0.25.1/LICENSE,Apache-2.0
cloud.google.com/go/auth,https://github.com/googleapis/google-cloud-go/blob/auth/v0.20.0/auth/LICENSE,Apache-2.0
cloud.google.com/go/auth/oauth2adapt,https://github.com/googleapis/google-cloud-go/blob/auth/oauth2adapt/v0.2.8/auth/oauth2adapt/LICENSE,Apache-2.0
cloud.google.com/go/compute/metadata,https://github.com/googleapis/google-cloud-go/blob/compute/metadata/v0.9.0/compute/metadata/LICENSE,Apache-2.0
cloud.google.com/go/iam,https://github.com/googleapis/google-cloud-go/blob/iam/v1.11.0/iam/LICENSE,Apache-2.0
cloud.google.com/go/internal,https://github.com/googleapis/google-cloud-go/blob/v0.123.0/LICENSE,Apache-2.0
cloud.google.com/go/kms,https://github.com/googleapis/google-cloud-go/blob/kms/v1.31.0/kms/LICENSE,Apache-2.0
cloud.google.com/go/longrunning,https://github.com/googleapis/google-cloud-go/blob/longrunning/v1.2.0/longrunning/LICENSE,Apache-2.0
cloud.google.com/go/monitoring,https://github.com/googleapis/google-cloud-go/blob/monitoring/v1.29.0/monitoring/LICENSE,Apache-2.0
cloud.google.com/go/storage,https://github.com/googleapis/google-cloud-go/blob/storage/v1.64.0/storage/LICENSE,Apache-2.0
github.com/AliyunContainerService/ack-ram-tool/pkg/credentials/provider,https://github.com/AliyunContainerService/ack-ram-tool/blob/pkg/credentials/provider/v0.14.0/pkg/credentials/provider/LICENSE,Apache-2.0
github.com/Azure/azure-sdk-for-go,https://github.com/Azure/azure-sdk-for-go/blob/v68.0.0/LICENSE.txt,MIT
github.com/Azure/azure-sdk-for-go/sdk/azcore,https://github.com/Azure/azure-sdk-for-go/blob/sdk/azcore/v1.20.0/sdk/azcore/LICENSE.txt,MIT
github.com/Azure/azure-sdk-for-go/sdk/azidentity,https://github.com/Azure/azure-sdk-for-go/blob/sdk/azidentity/v1.13.1/sdk/azidentity/LICENSE.txt,MIT
github.com/Azure/azure-sdk-for-go/sdk/internal,https://github.com/Azure/azure-sdk-for-go/blob/sdk/internal/v1.11.2/sdk/internal/LICENSE.txt,MIT
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/azkeys,https://github.com/Azure/azure-sdk-for-go/blob/sdk/security/keyvault/azkeys/v1.4.0/sdk/security/keyvault/azkeys/LICENSE.txt,MIT
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/internal,https://github.com/Azure/azure-sdk-for-go/blob/sdk/security/keyvault/internal/v1.2.0/sdk/security/keyvault/internal/LICENSE.txt,MIT
github.com/Azure/go-autorest/autorest,https://github.com/Azure/go-autorest/blob/autorest/v0.11.29/autorest/LICENSE,Apache-2.0
github.com/Azure/go-autorest/autorest/adal,https://github.com/Azure/go-autorest/blob/autorest/adal/v0.9.23/autorest/adal/LICENSE,Apache-2.0
github.com/Azure/go-autorest/autorest/azure/auth,https://github.com/Azure/go-autorest/blob/autorest/azure/auth/v0.5.12/autorest/azure/auth/LICENSE,Apache-2.0
github.com/Azure/go-autorest/autorest/azure/cli,https://github.com/Azure/go-autorest/blob/autorest/azure/cli/v0.4.6/autorest/azure/cli/LICENSE,Apache-2.0
github.com/Azure/go-autorest/autorest/date,https://github.com/Azure/go-autorest/blob/autorest/date/v0.3.0/autorest/date/LICENSE,Apache-2.0
github.com/Azure/go-autorest/logger,https://github.com/Azure/go-autorest/blob/logger/v0.2.1/logger/LICENSE,Apache-2.0
github.com/Azure/go-autorest/tracing,https://github.com/Azure/go-autorest/blob/tracing/v0.6.0/tracing/LICENSE,Apache-2.0
github.com/AzureAD/microsoft-authentication-library-for-go/apps,https://github.com/AzureAD/microsoft-authentication-library-for-go/blob/v1.6.0/LICENSE,MIT
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp,https://github.com/GoogleCloudPlatform/opentelemetry-operations-go/blob/detectors/gcp/v1.32.0/detectors/gcp/LICENSE,Apache-2.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric,https://github.com/GoogleCloudPlatform/opentelemetry-operations-go/blob/exporter/metric/v0.57.0/exporter/metric/LICENSE,Apache-2.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/resourcemapping,https://github.com/GoogleCloudPlatform/opentelemetry-operations-go/blob/internal/resourcemapping/v0.57.0/internal/resourcemapping/LICENSE,Apache-2.0
github.com/alibabacloud-go/alibabacloud-gateway-spi/client,https://github.com/alibabacloud-go/alibabacloud-gateway-spi/blob/v0.0.4/LICENSE,Apache-2.0
